Id,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,RainToday,RainTomorrow
2370,5.8,15.0,15.2,,,19.0,7.0,9.0,65.0,60.0,1022.2,8.0,8.0,11.7,1,1
101760,3.0,14.5,5.8,1.0,3.2,56.0,11.0,31.0,92.0,84.0,1013.4,7.0,7.0,11.6,1,1
119619,9.0,21.5,0.0,3.4,7.5,31.0,7.0,7.0,77.0,52.0,1022.2,6.0,5.0,15.7,0,0
138157,20.7,30.5,2.6,9.0,4.1,46.0,7.0,31.0,53.0,33.0,1012.7,2.0,7.0,26.8,1,1
63816,-1.9,12.6,0.0,,,17.0,7.0,9.0,98.0,66.0,1015.9,4.0,8.0,0.1,0,1
132525,16.4,24.6,0.0,4.6,9.1,35.0,7.0,24.0,65.0,59.0,1019.0,1.0,2.0,20.8,0,0
137931,20.2,29.8,0.0,11.0,11.9,52.0,24.0,20.0,52.0,37.0,1013.6,3.0,4.0,22.9,0,0
46602,1.4,11.3,13.2,2.0,3.4,43.0,24.0,22.0,77.0,59.0,1005.0,3.0,7.0,7.2,1,0
111854,10.6,17.1,8.0,,,61.0,22.0,26.0,81.0,68.0,1010.7,,,14.2,1,1
132291,8.5,11.3,9.4,0.4,1.0,54.0,24.0,17.0,92.0,74.0,1017.9,8.0,6.0,9.5,1,1
3704,8.1,24.8,0.0,,,41.0,0.0,17.0,61.0,72.0,1014.0,,,17.6,0,1
87937,23.0,32.6,16.8,8.6,6.1,31.0,13.0,15.0,69.0,63.0,1008.6,4.0,5.0,29.5,1,1
31026,12.6,20.0,12.8,1.6,3.9,,22.0,28.0,87.0,68.0,1010.2,7.0,7.0,16.5,1,1
4670,11.2,17.6,0.0,,,20.0,4.0,7.0,90.0,98.0,1009.6,,,14.1,0,1
140332,24.9,34.0,0.0,6.2,11.6,30.0,13.0,17.0,66.0,58.0,1004.2,2.0,3.0,29.6,0,1
63508,6.6,13.0,0.0,,,46.0,22.0,24.0,94.0,66.0,1017.5,8.0,7.0,9.0,0,0
33363,19.0,29.2,0.0,5.8,2.6,65.0,22.0,28.0,62.0,68.0,994.3,7.0,7.0,24.1,0,1
78895,6.7,12.7,10.4,0.8,3.2,46.0,7.0,13.0,99.0,71.0,1023.6,7.0,7.0,8.2,1,1
102405,10.3,30.9,0.0,,,30.0,15.0,7.0,74.0,30.0,1013.1,,,18.9,0,0
12078,21.5,34.6,0.0,8.0,9.8,41.0,26.0,11.0,55.0,26.0,1010.1,5.0,5.0,25.5,0,0
42334,11.2,26.9,0.0,10.0,,39.0,22.0,31.0,64.0,39.0,1012.3,1.0,,19.6,0,0
133997,9.1,16.8,1.8,,,35.0,9.0,20.0,97.0,73.0,1022.0,,,11.0,1,1
38914,12.6,24.1,0.4,4.2,4.4,59.0,9.0,6.0,79.0,54.0,1019.2,7.0,7.0,17.4,0,1
77917,6.3,17.4,0.0,,,26.0,9.0,15.0,76.0,50.0,1019.9,8.0,7.0,11.6,0,0
10530,14.2,23.9,1.2,0.8,,26.0,13.0,15.0,86.0,68.0,1022.4,7.0,2.0,18.5,1,1
67000,15.1,23.4,3.2,12.2,6.1,80.0,43.0,50.0,90.0,29.0,998.2,8.0,6.0,16.3,1,1
101035,4.2,17.5,0.6,0.8,3.1,17.0,4.0,9.0,95.0,78.0,1023.5,6.0,8.0,9.5,0,1
16175,18.6,36.1,0.0,,,,4.0,6.0,70.0,50.0,,1.0,5.0,24.0,0,1
79661,9.5,19.7,0.0,3.8,3.6,31.0,6.0,6.0,97.0,65.0,1013.2,7.0,7.0,11.8,0,1
