,Sex,Ticket,Age,Fare,Name,PassengerId,Title,Title_n,Cabin,Pclass,Fare_,Pclass_,Family,Family_,Age_,SibSp,Embarked,Parch,Survived
0,0,720,22.0,7.25,155,1,12,1.0,186,3,1,1,1,3,4,1,2,0,0.0
1,1,816,38.0,71.2833,286,2,13,2.0,106,1,0,3,1,3,0,1,0,0,1.0
2,1,914,26.0,7.925,523,3,9,2.0,186,3,1,1,0,2,0,0,2,0,1.0
3,1,65,35.0,53.1,422,4,13,2.0,70,1,0,3,1,3,0,1,2,0,1.0
4,0,649,35.0,8.05,22,5,12,1.0,186,3,3,1,0,2,0,0,2,0,0.0
5,0,373,32.25215146299484,8.4583,818,6,12,1.0,186,3,3,1,0,2,0,0,1,0,0.0
6,0,109,54.0,51.8625,767,7,12,1.0,163,1,0,3,0,2,2,0,2,0,0.0
7,0,541,2.0,21.075,914,8,8,1.0,186,3,4,1,4,1,1,3,2,1,0.0
8,1,477,27.0,11.1333,605,9,13,2.0,186,3,3,1,2,3,0,0,2,2,1.0
9,1,174,14.0,30.0708,847,10,13,2.0,186,2,5,2,1,3,4,1,0,0,1.0
10,1,839,4.0,16.7,1067,11,9,2.0,184,3,4,1,2,3,1,1,2,1,1.0
11,1,50,58.0,26.55,133,12,9,2.0,62,1,5,3,0,2,2,0,2,0,1.0
12,0,733,20.0,8.05,1070,13,12,1.0,186,3,3,1,0,2,4,0,2,0,0.0
13,0,459,39.0,31.275,38,14,12,1.0,186,3,5,1,6,2,0,1,2,5,0.0
14,1,566,14.0,7.8542,1221,15,9,2.0,186,3,1,1,0,2,4,0,2,0,0.0
15,1,204,55.0,16.0,533,16,13,2.0,186,2,3,2,0,2,2,0,2,0,1.0
16,0,659,2.0,29.125,995,17,8,1.0,186,3,5,1,5,1,1,4,1,1,0.0
17,0,201,32.25215146299484,13.0,1271,18,12,1.0,186,2,3,2,0,2,0,0,2,0,1.0
18,1,417,31.0,18.0,1217,19,13,2.0,186,3,4,1,1,3,0,1,2,0,0.0
